Company Name: G S Auto International Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: GACM Technologies Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: MEP Infrastructure Developers Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Hilltone Software & Gases Ltd, Sector: Chemicals, Industry: Chemicals,
Company Name: K G Denim Ltd, Sector: Textiles, Industry: Textiles - Cotton/Blended,
Company Name: Silgo Retail Ltd, Sector: Diamond, Gems and Jewellery, Industry: Diamond Cutting / Jewellery,
Company Name: Gita Renewable Energy Ltd, Sector: Power Generation & Distribution, Industry: Power Generation And Supply,
Company Name: Anirit Ventures Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Trimurthi Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Prime Property Development Corporation Ltd, Sector: Construction, Industry: Construction,
Company Name: Pentagon Rubber Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Shelter Pharma Ltd, Sector: Pharmaceuticals, Industry: Pharmaceuticals - Indian - Bulk Drugs,
Company Name: Pearl Polymers Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: Mangal Compusolution Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
